timestamp,report_id,report_type,description,location,urgency,issue_category,status,verified,upvotes,priority_score
2025-05-03 04:25:26.194721,RPT_630461,information,Emergency situation regarding corruption in Kanpur,Kanpur,low,corruption,in_progress,True,87,0.736471060396745
2025-05-15 05:26:28.601307,RPT_965263,suggestion,Community feedback on water shortage in Ghaziabad,Ghaziabad,high,water shortage,pending,True,75,0.32208259479689294
2025-05-12 12:56:36.039743,RPT_199703,suggestion,Emergency situation regarding public transport in Visakhapatnam,Visakhapatnam,critical,public transport,pending,True,62,0.017869962094360425
2025-05-01 14:24:45.179940,RPT_444286,emergency,Emergency situation regarding water shortage in Pune,Pune,high,water shortage,closed,True,28,0.5369301967967124
2025-05-21 21:32:09.575211,RPT_556820,complaint,Emergency situation regarding monsoon flooding in Indore,Indore,low,monsoon flooding,in_progress,True,29,0.41077059692464934
2025-05-21 01:00:28.839409,RPT_598330,information,Request for public transport improvement in Kolkata,Kolkata,critical,public transport,resolved,False,83,0.9255854425954347
2025-05-12 20:07:17.377955,RPT_581003,appreciation,Emergency situation regarding housing in Indore,Indore,low,housing,resolved,True,33,0.415027589916811
2025-04-30 05:25:17.602230,RPT_141457,information,Community feedback on street lighting in Bhopal,Bhopal,high,street lighting,in_progress,True,85,0.6875797574923308
2025-05-21 03:36:10.764070,RPT_812487,appreciation,Community feedback on water shortage in Delhi,Delhi,medium,water shortage,in_progress,False,59,0.21103350901047102
2025-05-05 03:38:56.119305,RPT_331196,complaint,Request for water shortage improvement in Ludhiana,Ludhiana,high,water shortage,closed,True,2,0.5540915386623612
2025-05-16 08:24:27.137654,RPT_225018,suggestion,Urgent corruption issue reported in Lucknow,Lucknow,critical,corruption,pending,False,71,0.464911222101812
2025-05-06 08:52:27.411912,RPT_630760,appreciation,Request for education improvement in Bangalore,Bangalore,low,education,closed,False,1,0.05542145766630158
2025-05-26 23:03:27.164355,RPT_841319,complaint,Request for healthcare improvement in Ahmedabad,Ahmedabad,high,healthcare,resolved,True,40,0.3129991611252231
2025-05-07 03:19:18.065896,RPT_639068,suggestion,Emergency situation regarding street lighting in Nagpur,Nagpur,critical,street lighting,in_progress,False,97,0.7309424248726784
2025-05-22 01:45:39.262291,RPT_328045,information,Community feedback on garbage collection in Bhopal,Bhopal,medium,garbage collection,pending,False,50,0.17282071265593613
2025-05-03 20:39:55.930017,RPT_721057,information,Urgent water shortage issue reported in Delhi,Delhi,medium,water shortage,closed,False,58,0.9515301386796186
2025-05-18 12:16:13.808920,RPT_192001,complaint,Emergency situation regarding education in Hyderabad,Hyderabad,critical,education,pending,True,97,0.90248309850823
2025-05-19 08:08:55.471727,RPT_562843,information,Urgent street lighting issue reported in Jaipur,Jaipur,critical,street lighting,in_progress,False,5,0.054631970029928034
2025-05-08 21:48:32.988880,RPT_245881,complaint,Community feedback on traffic congestion in Thane,Thane,high,traffic congestion,closed,False,72,0.9339828567518713
2025-04-30 03:53:49.629126,RPT_657624,suggestion,Urgent monsoon flooding issue reported in Kanpur,Kanpur,high,monsoon flooding,closed,True,80,0.5830748500613375
2025-05-18 05:25:12.819539,RPT_839381,suggestion,Urgent housing issue reported in Delhi,Delhi,critical,housing,in_progress,False,51,0.5487130204622216
2025-05-09 22:55:57.451908,RPT_564614,information,Request for traffic congestion improvement in Surat,Surat,medium,traffic congestion,closed,False,66,0.2191995788702349
2025-05-05 00:48:26.083846,RPT_257444,suggestion,Community feedback on traffic congestion in Ghaziabad,Ghaziabad,critical,traffic congestion,pending,False,33,0.2218080373036525
2025-05-16 23:47:46.859777,RPT_337888,information,Community feedback on water shortage in Bangalore,Bangalore,high,water shortage,closed,False,88,0.21059225695155948
2025-05-26 04:19:45.195980,RPT_804755,suggestion,Community feedback on power outage in Visakhapatnam,Visakhapatnam,low,power outage,pending,True,97,0.6682671591392595
2025-05-19 04:56:58.233442,RPT_620699,appreciation,Urgent pollution issue reported in Pimpri-Chinchwad,Pimpri-Chinchwad,low,pollution,resolved,False,100,0.01716478104842256
2025-05-25 20:55:44.271993,RPT_203998,emergency,Emergency situation regarding monsoon flooding in Chennai,Chennai,high,monsoon flooding,closed,True,94,0.19263202128527224
2025-05-25 17:43:39.257535,RPT_229675,complaint,Community feedback on monsoon flooding in Ghaziabad,Ghaziabad,medium,monsoon flooding,resolved,True,15,0.9424659093522485
2025-05-22 03:48:40.154785,RPT_758714,suggestion,Community feedback on garbage collection in Surat,Surat,low,garbage collection,resolved,True,78,0.02387925296504878
2025-05-07 10:34:37.661997,RPT_590556,appreciation,Emergency situation regarding garbage collection in Kanpur,Kanpur,high,garbage collection,closed,False,74,0.751784902499113
2025-05-16 14:45:15.177318,RPT_746960,suggestion,Emergency situation regarding water shortage in Vadodara,Vadodara,medium,water shortage,resolved,False,79,0.617997440418435
2025-05-01 01:04:49.811248,RPT_420034,complaint,Urgent healthcare issue reported in Jaipur,Jaipur,high,healthcare,in_progress,True,38,0.09081790224946962
2025-05-28 13:25:45.206676,RPT_726464,suggestion,Request for traffic congestion improvement in Ludhiana,Ludhiana,low,traffic congestion,resolved,False,83,0.14661387964326955
2025-05-09 06:39:01.789303,RPT_287301,emergency,Emergency situation regarding education in Visakhapatnam,Visakhapatnam,medium,education,in_progress,False,50,0.18555305742712458
2025-05-22 04:18:50.362803,RPT_986651,complaint,Community feedback on traffic congestion in Chennai,Chennai,critical,traffic congestion,in_progress,True,62,0.8639342716374523
2025-05-09 17:03:48.140664,RPT_331984,appreciation,Request for public transport improvement in Thane,Thane,critical,public transport,resolved,True,90,0.32098086328185294
2025-05-04 06:34:51.242672,RPT_201099,suggestion,Emergency situation regarding housing in Bangalore,Bangalore,high,housing,pending,True,72,0.9421390944442912
2025-05-16 03:35:06.916341,RPT_159518,appreciation,Emergency situation regarding public transport in Vadodara,Vadodara,critical,public transport,resolved,False,71,0.2970722274316827
2025-04-30 11:55:30.358322,RPT_375343,appreciation,Request for garbage collection improvement in Agra,Agra,medium,garbage collection,resolved,True,43,0.4007110237288488
2025-05-14 07:20:15.804153,RPT_977233,complaint,Emergency situation regarding healthcare in Jaipur,Jaipur,high,healthcare,pending,True,99,0.9918895129239296
2025-05-07 08:38:39.829944,RPT_482182,suggestion,Request for education improvement in Ghaziabad,Ghaziabad,high,education,resolved,False,6,0.22302997827628646
2025-05-21 13:06:28.430529,RPT_896436,emergency,Community feedback on traffic congestion in Jaipur,Jaipur,high,traffic congestion,resolved,False,98,0.27940241333492766
2025-05-27 06:38:52.796470,RPT_816230,appreciation,Community feedback on pollution in Chennai,Chennai,medium,pollution,closed,True,24,0.6673564023902308
