country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",30-05-2025 02:00:00,26.10887,91.589544,SO2,3,19,11
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",30-05-2025 02:00:00,26.187500,91.744194,PM2.5,1,12,6
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",30-05-2025 02:00:00,26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",30-05-2025 02:00:00,26.181742,91.78063,SO2,21,22,21
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",30-05-2025 02:00:00,26.349082,92.68449,PM10,58,73,64
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",30-05-2025 02:00:00,26.349082,92.68449,NO2,1,11,1
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-05-2025 02:00:00,26.446912,91.439057,PM10,44,48,45
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-05-2025 02:00:00,26.446912,91.439057,NH3,1,3,2
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",30-05-2025 02:00:00,26.446912,91.439057,CO,25,50,38
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-05-2025 02:00:00,16.5150833,80.5181667,PM2.5,20,57,34
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-05-2025 02:00:00,16.5150833,80.5181667,PM10,27,95,55
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",30-05-2025 02:00:00,16.5150833,80.5181667,NH3,2,3,2
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",30-05-2025 02:00:00,14.675886,77.593027,SO2,13,15,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-05-2025 02:00:00,14.465052,78.824187,PM2.5,56,75,64
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",30-05-2025 02:00:00,14.465052,78.824187,OZONE,29,35,32
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",30-05-2025 02:00:00,16.9872867,81.7363176,PM10,30,66,48
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",30-05-2025 02:00:00,13.67,79.35,NO2,8,18,13
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",30-05-2025 02:00:00,13.67,79.35,NH3,1,1,1
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",30-05-2025 02:00:00,13.67,79.35,CO,4,57,16
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-05-2025 02:00:00,13.615387,79.409230,NO2,3,10,5
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",30-05-2025 02:00:00,13.615387,79.409230,SO2,10,14,11
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",30-05-2025 02:00:00,16.486692,80.699436,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",30-05-2025 02:00:00,16.486692,80.699436,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",30-05-2025 02:00:00,16.486692,80.699436,OZONE,17,36,18
India,Bihar,Patna,"Muradpur, Patna - BSPCB",30-05-2025 02:00:00,25.619651,85.147382,NH3,2,10,4
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",30-05-2025 02:00:00,25.599486,85.113666,PM2.5,10,43,25
India,Bihar,Patna,"Samanpura, Patna - BSPCB",30-05-2025 02:00:00,25.596727,85.085624,PM2.5,NA,NA,NA
India,Bihar,Patna,"Samanpura, Patna - BSPCB",30-05-2025 02:00:00,25.596727,85.085624,SO2,1,3,2
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",30-05-2025 02:00:00,25.366336,87.117468,PM2.5,NA,NA,NA
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",30-05-2025 02:00:00,25.366336,87.117468,CO,24,46,25
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",30-05-2025 02:00:00,25.03280,85.41948,PM2.5,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",30-05-2025 02:00:00,25.03280,85.41948,PM10,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",30-05-2025 02:00:00,25.42742023,86.13886079,CO,36,72,46
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",30-05-2025 02:00:00,25.251013,86.989001,SO2,3,76,49
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",30-05-2025 02:00:00,25.204762,85.514960,OZONE,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-05-2025 02:00:00,25.567520,83.966379,NO2,4,5,5
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-05-2025 02:00:00,25.567520,83.966379,SO2,1,18,8
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",30-05-2025 02:00:00,25.567520,83.966379,OZONE,1,13,2
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",30-05-2025 02:00:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",30-05-2025 02:00:00,26.0881305,87.93840336,PM10,34,106,60
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",30-05-2025 02:00:00,26.0881305,87.93840336,NO2,7,12,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",30-05-2025 02:00:00,26.0881305,87.93840336,OZONE,14,20,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",30-05-2025 02:00:00,26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB",30-05-2025 02:00:00,25.376776,86.471523,CO,18,30,29
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-05-2025 02:00:00,17.72,83.3,PM10,84,179,116
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-05-2025 02:00:00,17.72,83.3,NO2,44,180,110
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",30-05-2025 02:00:00,17.72,83.3,CO,23,119,50
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",30-05-2025 02:00:00,26.071318,91.87488,NH3,2,4,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-05-2025 02:00:00,26.2028636,91.70046436,PM2.5,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA",30-05-2025 02:00:00,26.2028636,91.70046436,SO2,21,24,22
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",30-05-2025 02:00:00,26.146529,87.454184,NH3,9,12,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",30-05-2025 02:00:00,25.5626095,84.663264,SO2,8,10,9
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",30-05-2025 02:00:00,25.5626095,84.663264,OZONE,7,8,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",30-05-2025 02:00:00,24.75746,84.366208,PM2.5,5,60,36
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",30-05-2025 02:00:00,25.42742023,86.13886079,PM10,10,41,23
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",30-05-2025 02:00:00,25.42742023,86.13886079,SO2,4,10,7
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",30-05-2025 02:00:00,26.1403345,85.3650192,NH3,NA,NA,NA
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",30-05-2025 02:00:00,26.1403345,85.3650192,CO,36,97,41
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",30-05-2025 02:00:00,26.1209,85.3647,NO2,8,15,10
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",30-05-2025 02:00:00,26.1209,85.3647,CO,11,38,21
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",30-05-2025 02:00:00,25.586562,85.043586,CO,28,40,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",30-05-2025 02:00:00,25.586562,85.043586,OZONE,4,27,10
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",30-05-2025 02:00:00,25.7808257,84.7446768,CO,12,24,16
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",30-05-2025 02:00:00,24.792403,84.992416,PM10,17,115,69
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",30-05-2025 02:00:00,24.792403,84.992416,NH3,4,6,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",30-05-2025 02:00:00,24.792403,84.992416,SO2,14,18,17
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",30-05-2025 02:00:00,24.762518,84.982348,CO,14,32,17
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",30-05-2025 02:00:00,28.611281,77.237738,PM2.5,45,240,98
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",30-05-2025 02:00:00,28.636429,77.201067,PM10,67,147,112
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",30-05-2025 02:00:00,28.636429,77.201067,NO2,11,67,30
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",30-05-2025 02:00:00,28.636429,77.201067,SO2,2,15,7
India,Delhi,Delhi,"Mundka, Delhi - DPCC",30-05-2025 02:00:00,28.684678,77.076574,PM10,160,422,235
India,Delhi,Delhi,"Mundka, Delhi - DPCC",30-05-2025 02:00:00,28.684678,77.076574,NH3,1,1,1
India,Delhi,Delhi,"Mundka, Delhi - DPCC",30-05-2025 02:00:00,28.684678,77.076574,SO2,7,12,9
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",30-05-2025 02:00:00,28.60909,77.0325413,NH3,10,13,11
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",30-05-2025 02:00:00,28.60909,77.0325413,SO2,11,18,15
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",30-05-2025 02:00:00,28.60909,77.0325413,CO,12,110,60
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",30-05-2025 02:00:00,28.60909,77.0325413,OZONE,15,95,51
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",30-05-2025 02:00:00,28.570173,76.933762,PM2.5,22,213,97
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",30-05-2025 02:00:00,28.570173,76.933762,NO2,14,61,33
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",30-05-2025 02:00:00,28.656756,77.227234,PM10,99,147,121
India,Delhi,Delhi,"DTU, Delhi - CPCB",30-05-2025 02:00:00,28.7500499,77.1112615,SO2,76,85,80
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",30-05-2025 02:00:00,28.498571,77.264840,PM2.5,44,150,86
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",30-05-2025 02:00:00,28.498571,77.264840,NH3,7,11,9
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",30-05-2025 02:00:00,28.5710274,77.0719006,NO2,41,122,73
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",30-05-2025 02:00:00,28.5710274,77.0719006,NH3,9,24,13
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",30-05-2025 02:00:00,28.5627763,77.1180053,PM2.5,36,100,72
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",30-05-2025 02:00:00,28.6811736,77.3025234,PM2.5,9,243,86
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",30-05-2025 02:00:00,28.6811736,77.3025234,NH3,5,7,6
India,Delhi,Delhi,"ITO, Delhi - CPCB",30-05-2025 02:00:00,28.628624,77.241060,NO2,10,64,29
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",30-05-2025 02:00:00,28.732820,77.170633,NO2,17,74,41
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",30-05-2025 02:00:00,28.732820,77.170633,NH3,17,21,19
